Rank,Team,Best,Latest,Time,IsStudent
552,137: STK,1586,1303,17:55:53,
553,89: ECC IoT部,1500,1302,17:59:28,学生
554,991: 炊き立てご飯,966,1286,17:44:01,
555,536: acchanAlexander,3395,1269,17:59:01,
556,195: DTLS2010,5940,1267,17:53:03,
557,244: ちゃ,1519,1262,17:58:06,
558,872: RiST,1175,1256,17:59:28,学生
559,422: かぴばら,1302,1254,17:28:16,
560,475: kgrzk,1244,1244,16:40:23,
561,863: Yuro,1177,1239,17:53:24,
562,828: mk4421,1207,1204,17:56:16,
563,875: Level Up,1181,1181,15:40:17,学生
564,55: 犬を愛そう,1219,1174,17:49:00,
565,690: SQLインジェクターズ,1168,1169,17:59:24,
566,466: WAIDORO,1116,1150,17:35:11,
567,250: GrowthHackersJonA,1140,1140,10:27:51,
568,548: rint,1254,1134,16:55:48,
569,912: 同じビル,1238,1132,17:59:05,
570,370: KoalaAce,1083,1113,17:27:55,学生
571,970: kosababa,1203,1113,17:53:02,
572,745: mokumoku,1161,1110,17:58:24,
573,741: ochakumi,1208,1108,17:36:15,学生
574,186: DHC,1450,1106,17:59:00,
575,797: ぐ,1182,1081,17:52:07,
576,751: 焼きとうもろこし(果物),1479,1074,17:58:55,学生
577,539: ijgnoita,860,1061,17:57:50,
578,423: Valanga,1193,1057,10:35:51,
579,826: catChaki,1595,1056,17:58:41,
580,607: ラーメン赤犬,916,1055,17:54:57,
581,526: team-11,912,1050,17:51:47,
582,437: IMAGINE THE Pin<Box<dyn Future<Output=()>+Send+'static>>,1027,1050,17:54:11,学生
583,842: ぱろすぺしゃる,3439,1048,17:47:57,
584,730: mint,1037,1037,11:38:56,
585,888: きじくん,1023,1023,13:49:55,
586,264: ふうんふーん♪,1314,1020,16:54:36,
587,804: Blitz,1110,1019,17:36:21,
588,808: dennouken,1161,1019,17:46:52,
589,376: Optimize Otaku,952,1016,17:58:31,
590,854: Rako,935,1013,17:29:51,学生
591,855: 座るより寝っ転がり隊,1130,1003,17:53:30,学生
592,721: marmalade,1224,1003,17:54:15,
593,765: NavyChair,1541,1001,17:43:02,
594,933: おるたんしあ,1056,1000,17:57:30,
595,755: ntomoya,1033,991,14:42:13,
596,474: PNT,1262,988,17:47:38,
597,579: LRLIKEBROTHER,1102,986,17:59:00,
598,707: つむの,1231,985,17:58:30,
599,381: GitOps推進委員会,1117,977,16:36:56,
600,825: ワオワオワオワオキツネザル,977,969,17:44:29,学生
601,330: takak,1360,967,17:54:30,
602,691: ni,1139,954,10:26:52,
603,813: DON,1200,942,17:51:19,
604,257: ノルウェージャン,1709,938,17:59:44,
605,527: Bros,1004,927,17:55:08,
606,585: うるるん滞在記,1175,915,17:56:53,
607,455: なんとかなれー,915,913,12:50:37,
608,242: TPAC,1147,900,11:09:24,
609,591: 白いもけもけ,1052,899,17:45:32,
610,494: タラ1号,893,893,11:29:04,
611,894: shinoshino,1143,888,10:50:06,
612,415: USS,2103,882,17:58:00,
613,230: :zenyowa:,1324,879,17:58:34,学生
614,438: cube,876,876,12:01:24,学生
615,677: morita,4922,863,15:32:44,
616,545: elab1,1201,862,15:42:09,学生
617,715: kanataso,1118,857,17:03:49,学生
618,877: vitality,869,852,17:35:22,学生
619,805: 三人集まれば文殊の知恵,1032,848,17:40:47,学生
620,498: Team Yuoreis,1130,848,17:52:33,学生
621,657: M.T,645,834,17:18:48,
622,444: xss,881,820,11:09:23,
623,845: tenne,976,810,17:56:41,
624,827: ゅ,808,808,16:15:25,
625,452: ネコチャンダイスキ,1044,772,17:43:18,
626,658: あばばば,993,763,14:36:30,
627,285: 吉祥寺から来た,861,743,11:52:00,
628,780: スヴェンとオキちゃんとバラマツ,1016,741,16:28:26,
629,245: KNPT,1081,714,14:39:10,
630,261: かきあげせいろ定食,1155,712,17:38:44,
631,880: きのこ,940,702,17:57:16,
632,62: taemath,987,699,17:24:11,
633,794: Koo Imai,1099,691,17:46:37,学生
634,565: Daifuku,893,680,17:55:45,
635,568: kstm,1363,659,17:45:19,学生
636,685: doinkya,1200,656,15:15:06,
637,489: i_scn,946,652,17:50:38,
638,997: Named Tuplestore Scan,1215,646,13:01:18,
639,635: M,1063,642,17:11:25,
640,927: ファルコン2024,903,635,16:53:48,
641,243: はやね はやおき あさごはん,901,630,17:58:06,
642,400: いい感じに継続して集まっている人たち,1051,586,17:50:31,
643,806: yamato,999,559,17:53:36,
644,903: なかよし🫶,1059,526,15:32:37,
645,495: team sasamon,14485,371,17:57:40,
646,946: jakoten,1189,342,17:59:16,
647,237: 太郎の命,992,0,12:13:44,
648,801: ぼっち,1291,0,14:32:59,
649,296: bochibochi,999,0,15:53:05,
650,405: コーラサワー,1109,0,16:21:59,
651,391: SNP,1151,0,17:01:53,
652,436: ISUGPT-turbo,1130,0,17:32:43,
653,883: kta1kri,1167,0,17:36:59,
654,873: ミャオミャオ,1002,0,17:40:53,
655,596: [object Object],1218,0,17:42:15,
656,663: Walhalla,1174,0,17:43:14,
657,30: RE: ゼロから始めるISUCON,1856,0,17:47:03,
658,749: mogemoge,1339,0,17:48:03,
659,990: MCTオイル,1486,0,17:48:58,
660,479: CARDマン,1175,0,17:50:08,
661,511: グラップラーPHP,1096,0,17:51:40,
662,914: わんわんお,3824,0,17:52:18,
663,208: pgk,1820,0,17:52:58,
664,44: NekoNekoRamen,2498,0,17:53:22,学生
665,578: 3grass,3732,0,17:53:32,
666,205: stand-alone,1322,0,17:53:33,
667,426: Washoku,4586,0,17:53:34,
668,229: らきゆき,4724,0,17:54:14,
669,716: そういうふうにできている,1905,0,17:54:40,
670,918: AIに仕事を奪われたい,1028,0,17:54:58,
671,628: おかか,1289,0,17:55:08,
672,326: 豆腐メンタル,920,0,17:55:17,
673,588: トドの国,940,0,17:55:29,
674,362: もこもこそふと,2229,0,17:56:04,
675,338: 半玉メロンソフトクリーム,2731,0,17:56:04,
676,930: チーム輩（ソロ）,4512,0,17:56:41,
677,496: サポートチーム,1190,0,17:56:43,
678,598: fugusuki,894,0,17:56:48,
679,462: 赤身,10216,0,17:56:49,
680,25: 釜中の鯖,7824,0,17:56:52,
681,185: 青海岸,3893,0,17:56:53,
682,737: 水野研,868,0,17:56:55,
683,951: 太郎,5770,0,17:57:03,
684,302: 極度いいかんじに(しなさい),1124,0,17:57:26,
685,134: shiron,1017,0,17:57:28,学生
686,324: EastLab,7344,0,17:57:34,
687,214: Xcodeしか勝たん！！iOSちゅきちゅきマリトッツォ♡,9915,0,17:57:35,
688,966: karupanerura,2728,0,17:57:35,
689,305: ナオガティ,17924,0,17:57:41,
690,260: berta block,6320,0,17:57:41,
691,457: gisan_202409,5718,0,17:57:42,
692,8: theorem,14996,0,17:57:43,
693,744: チームかずふ,4398,0,17:57:44,
694,97: N00b,6158,0,17:57:48,
695,321: にこにこ動物園,3824,0,17:58:00,
696,232: showwin,5013,0,17:58:08,
697,600: chokotouch,5281,0,17:58:10,
698,706: telecaster,1048,0,17:58:11,
699,375: とぉ〜れとっれぴぃ〜ちぴっち,6837,0,17:58:19,
700,282: KBM,4723,0,17:58:24,
701,450: motsu鍋,4530,0,17:58:24,
702,476: 現実ホビー部,1683,0,17:58:26,
703,148: black dragon,4809,0,17:58:31,
704,86: tkyktbt,1589,0,17:58:31,
705,46: 戦ELGANA,3831,0,17:58:31,
706,88: シバニャン,1186,0,17:58:31,
707,76: best effort,3070,0,17:58:34,
708,972: EveryBitCounts,2291,0,17:58:34,
709,167: asuken14,2944,0,17:58:35,
710,236: ちゃん,15259,0,17:58:36,
711,470: くまどや,15740,0,17:58:37,
712,34: shallowverse,4986,0,17:58:39,
713,688: GTO,899,0,17:58:39,
714,278: cat,7656,0,17:58:39,
715,81: へしこず,2652,0,17:58:40,
716,483: Xelmoph,3933,0,17:58:41,
717,919: ごろう,900,0,17:58:43,
718,252: 梅田アルコール倶楽部,6323,0,17:58:44,
719,809: FPGAでごめん,4928,0,17:58:47,学生
720,722: 紅葉谷オリーブ,7576,0,17:58:47,
721,678: Railsへの執着はもはや煩悩の域であり、開発者一同は瞑想したほうがいいと思います。,12663,0,17:58:49,
722,858: Ophiuchus_two,2984,0,17:58:50,
723,4: omedeto-kun,5354,0,17:58:50,
724,674: トリプルトルネード,8024,0,17:58:52,
725,934: 元同僚,3849,0,17:58:56,
726,705: 元同僚_最新_最終版コピー(3)_old決定版.xlsx,11416,0,17:58:57,
727,291: カレーおじさん,14577,0,17:58:59,
728,659: tomokon,5307,0,17:59:00,
729,217: SKKR,2534,0,17:59:02,
730,866: zoe,1704,0,17:59:03,
731,729: 桜ノ牧最高卍,3454,0,17:59:08,
732,66: mukonoso,4257,0,17:59:09,
733,750: えび,3131,0,17:59:10,
734,27: とりあえずモヒート,9526,0,17:59:12,
735,366: 35年ローン,6302,0,17:59:12,
736,627: 釜玉明太バターうどん,1130,0,17:59:13,
737,998: どすこいScalaクロマティーズ,1045,0,17:59:13,
738,227: ほりうち,4716,0,17:59:14,
739,407: モッハイバーヨー,4014,0,17:59:15,
740,18: ビット・プレイヤー,8348,0,17:59:15,
741,226: チームNALYSYS,20130,0,17:59:15,
742,73: oops,20377,0,17:59:16,
743,380: 郷に入ってはGoに従え,3096,0,17:59:17,
744,666: yagyu,13611,0,17:59:20,
745,961: ふんばり温泉チーム,9376,0,17:59:21,
746,492: aaaaaaaaaaaaaaaaa,1227,0,17:59:23,
747,98: INUCON 14(いい感じに猫を動かすコンテスト ワン!亖ャー),22257,0,17:59:23,学生
748,310: Oretamab2,7129,0,17:59:24,
749,928: ヌコ,18024,0,17:59:25,
750,469: 富ヶ谷飯店,7845,0,17:59:25,
751,892: 今から猛勉強して間に合わせるか,3666,0,17:59:27,
752,956: デ20,4410,0,17:59:28,
753,520: T-Lab,12736,0,17:59:30,学生
754,761: bocchi,1179,0,17:59:31,
755,652: R01,1110,0,17:59:32,
756,309: とんかつさくら,1642,0,17:59:32,
757,40: もやしし,7589,0,17:59:32,学生
758,75: FCCPC,23450,0,17:59:32,
759,408: piyo,8933,0,17:59:33,
760,16: Curl-Gotti,11192,0,17:59:34,
761,829: N次元ポケット,2500,0,17:59:37,
762,292: ケイビホース,1059,0,17:59:38,
763,115: ソレイユ,33198,0,17:59:40,
764,122: nisucon-bu,6536,0,17:59:41,
765,501: SHISUCON,6091,0,17:59:41,
766,973: チームモス,2992,0,17:59:41,
767,333: STUDIO,6589,0,17:59:41,
768,584: おちゃめ担当,10269,0,17:59:42,
769,909: dominosoft,4105,0,17:59:46,
770,975: console.log,8286,0,17:59:48,
771,90: nocusi,3012,0,17:59:48,
772,943: GCF,10946,0,17:59:49,
773,308: KST_20,1079,0,17:59:49,学生
774,549: iwamot solo,2377,0,17:59:50,
775,24: ナニモワカラナイ,28038,0,17:59:51,学生
776,299: チューニングパパ,12494,0,17:59:52,
777,767: h6g,5487,0,17:59:52,
778,586: (edited),8928,0,17:59:53,
779,275: むずかしい,18683,0,17:59:54,
780,31: OL001,5146,0,17:59:55,
781,233: よるのていおう,4536,0,17:59:55,
782,126: イーロンマック,7059,0,17:59:56,
783,642: chanyou,961,0,17:59:56,
784,265: どら焼き,2871,0,17:59:59,
785,11: kt,0,0,N/A,
786,56: nik,0,0,N/A,
787,162: 健康,0,0,N/A,
788,169: NSOK Co.,0,0,N/A,
789,174: Flagxs,0,0,N/A,
790,201: OptimizeOrDie,0,0,N/A,
791,210: saku,0,0,N/A,
792,294: HisuiLab,0,0,N/A,学生
793,352: sleepyfox,0,0,N/A,
794,367: s1ck h4ck,0,0,N/A,
795,404: TeamT,0,0,N/A,
796,497: と,0,0,N/A,
797,502: バサシタベタイ,0,0,N/A,
798,547: CIST IT COMMUNITY,0,0,N/A,学生
799,552: 開発環境、動け！開発環境！なぜ動かん！？,0,0,N/A,
800,563: The capital is 京都,0,0,N/A,
801,581: さよなら田浦,0,0,N/A,
802,583: nono,0,0,N/A,
803,602: キーマン不在,0,0,N/A,学生
804,605:00:00,0,0,N/A,
805,611: きゅうり,0,0,N/A,
806,616: LightningBlizzard,0,0,N/A,
807,624: Java Coffee,0,0,N/A,
808,625: akiba_rocket,0,0,N/A,学生
809,696: 46丁目,0,0,N/A,
810,701: 元祖長浜家,0,0,N/A,
811,732: grande,0,0,N/A,
812,748: オイスターズ,0,0,N/A,
813,772: うらにわのオクラ,0,0,N/A,
814,774: いなり寿司,0,0,N/A,
815,783: anko,0,0,N/A,
816,784: 春田花花幼稚園,0,0,N/A,学生
817,787: つーびー,0,0,N/A,学生
818,796: アイドル練習生,0,0,N/A,
819,802: 滑り込みチャーシュー氏,0,0,N/A,
820,823: しか,0,0,N/A,
821,841: 毎日進捗,0,0,N/A,
822,843: edamame_v3,0,0,N/A,
823,849: gannbaru,0,0,N/A,
824,884: ねこちゃんず,0,0,N/A,
825,890: ボンボンボンバイエ,0,0,N/A,
826,911: 単身赴任,0,0,N/A,
827,913: site,0,0,N/A,
828,915: へたれ48,0,0,N/A,
829,988: M.K ~孤独なISUCON~,0,0,N/A,
830,992: もんじゃ,0,0,N/A,
831,995: 眠れるパフォーマンスをアクティベイトせよ,0,0,N/A,
